"","Subject","Trial","Condition","SS1vSS2top","SS1amount","SS1delay","LL1amount","LL1delay","SS2amount","SS2delay","LL2amount","LL2delay","TrialStart","RT","TrialOver","Choice","Run","Day"
"3384",116,9,20,0,9.41,7,8.51,28,7.44,7,10.76,28,22.4139,1.4249,1.9482,0,2,"Fast"
"3385",116,10,19,0,7.59,7,7.44,28,6,7,9.41,28,24.3926,1.3741,1.898,0,2,"Fast"
"3386",116,11,13,1,7.12,0,7.44,63,5.63,0,9.41,63,26.3214,1.0525,1.566,0,2,"Fast"
"3387",116,12,41,0,9.1,21,7.44,84,7.2,21,9.41,84,27.9176,1.0963,1.6151,0,2,"Fast"
"3388",116,13,28,0,7.12,7,7.44,70,5.63,7,9.41,70,29.5637,1.0017,1.5158,0,2,"Fast"
"3389",116,14,44,0,6.03,21,7.44,84,4.76,21,9.41,84,31.1101,1.0007,1.516,0,2,"Fast"
"3390",116,15,1,1,9.12,0,7.44,21,7.21,0,9.41,21,32.6564,2.2692,2.7793,0,2,"Fast"
"3391",116,16,39,0,7.59,21,7.44,63,6,21,9.41,63,35.4665,1.0201,1.5324,0,2,"Fast"
"3392",116,17,18,0,8.23,7,7.44,28,6.5,7,9.41,28,37.0294,1.3133,1.8319,0,2,"Fast"
"3393",116,18,10,1,13.35,0,4,42,11.38,0,6.26,42,38.9082,2.7217,3.2455,0,2,"Fast"
"3394",116,19,9,0,10.77,0,3.5,42,9.18,0,5.47,42,42.184,1.5022,2.0145,0,2,"Fast"
"3395",116,20,41,0,12.91,21,3.5,84,11.01,21,5.47,84,44.2458,1.0089,1.5319,0,2,"Fast"
"3396",116,21,38,1,8.23,21,7.44,63,6.5,21,9.41,63,45.8088,1.5979,2.1146,0,2,"Fast"
"3397",116,22,8,0,8.23,0,7.44,42,6.5,0,9.41,42,47.9537,1.1488,1.6655,0,2,"Fast"
"3398",116,23,2,0,8.83,0,7.44,21,6.98,0,9.41,21,49.6497,1.5891,2.0977,0,2,"Fast"
"3399",116,24,28,1,10.1,7,3.5,70,8.61,7,5.47,70,51.778,1.1074,1.6323,0,2,"Fast"
"3400",116,25,37,1,8.83,21,7.44,63,6.98,21,9.41,63,53.4408,1.3979,1.915,0,2,"Fast"
"3401",116,26,26,0,9.1,7,7.44,70,7.2,7,9.41,70,55.3862,1.3406,1.865,0,2,"Fast"
"3402",116,27,45,1,9.32,21,8.51,84,7.37,21,10.76,84,57.2816,1.1081,1.6325,0,2,"Fast"
"3403",116,28,5,1,9.41,0,8.51,21,7.44,0,10.76,21,58.9445,1.0017,1.5159,0,2,"Fast"
"3404",116,29,24,0,11.67,7,3.5,49,9.95,7,5.47,49,60.4908,1.0006,1.515,0,2,"Fast"
"3405",116,30,17,0,8.83,7,7.44,28,6.98,7,9.41,28,62.037,1.105,1.6161,0,2,"Fast"
"3406",116,31,11,0,9.1,0,7.44,63,7.2,0,9.41,63,63.6833,1.0113,1.5327,0,2,"Fast"
"3407",116,32,36,1,9.12,21,7.44,63,7.21,21,9.41,63,65.2463,1.0019,1.5161,0,2,"Fast"
"3408",116,33,23,0,8.83,7,7.44,49,6.98,7,9.41,49,66.7926,1.2695,1.7818,0,2,"Fast"
"3409",116,34,34,0,7.59,21,7.44,42,6,21,9.41,42,68.605,1.0088,1.5326,0,2,"Fast"
"3410",116,35,33,1,8.23,21,7.44,42,6.5,21,9.41,42,70.168,1.0017,1.5153,0,2,"Fast"
"3411",116,36,12,0,8.15,0,7.44,63,6.44,0,9.41,63,71.7142,1.0282,1.5485,0,2,"Fast"
"3412",116,37,32,0,8.83,21,7.44,42,6.98,21,9.41,42,73.2938,1.0716,1.5825,0,2,"Fast"
"3413",116,38,40,1,9.41,21,8.51,63,7.44,21,10.76,63,74.9066,1.0016,1.5163,0,2,"Fast"
"3414",116,39,32,0,12.53,21,3.5,42,10.68,21,5.47,42,76.4532,1.3614,1.8816,0,2,"Fast"
"3415",116,40,39,1,10.77,21,3.5,63,9.18,21,5.47,63,78.3654,1.2966,1.8152,0,2,"Fast"
"3416",116,41,4,1,7.59,0,7.44,21,6,0,9.41,21,80.2109,1.0117,1.5326,0,2,"Fast"
"3417",116,42,29,0,6.03,7,7.44,70,4.76,7,9.41,70,81.774,1.5122,2.0313,0,2,"Fast"
"3418",116,43,2,1,12.53,0,3.5,21,10.68,0,5.47,21,83.8358,1.21,1.7324,0,2,"Fast"
"3419",116,44,30,0,9.32,7,8.51,70,7.37,7,10.76,70,85.5983,1.0154,1.5326,0,2,"Fast"
"3420",116,45,5,0,13.35,0,4,21,11.38,0,6.26,21,87.1611,1.2202,1.732,0,2,"Fast"
"3421",116,46,9,1,12.36,0,1.53,42,10.77,0,3.5,42,88.9404,1.0009,1.5161,0,2,"Fast"
"3422",116,47,14,0,6.03,0,7.44,63,4.76,0,9.41,63,90.4868,1.2639,1.7819,0,2,"Fast"
"3423",116,48,17,0,12.53,7,3.5,28,10.68,7,5.47,28,92.2992,1.0017,1.5159,0,2,"Fast"
"3424",116,49,44,1,8.55,21,3.5,84,7.29,21,5.47,84,93.8455,1.0021,1.516,0,2,"Fast"
"3425",116,50,4,0,10.77,0,3.5,21,9.18,0,5.47,21,95.3919,1.0457,1.5659,0,2,"Fast"
"3426",116,51,2,1,14.38,0,1.53,21,12.53,0,3.5,21,96.9881,1.0011,1.5161,0,2,"Fast"
"3427",116,52,19,1,10.77,7,3.5,28,9.18,7,5.47,28,98.5345,1.0952,1.6158,0,2,"Fast"
"3428",116,53,3,1,11.67,0,3.5,21,9.95,0,5.47,21,100.1806,1.0007,1.5158,0,2,"Fast"
"3429",116,54,7,1,8.83,0,7.44,42,6.98,0,9.41,42,101.7269,1.0017,1.5163,0,2,"Fast"
"3430",116,55,22,1,9.12,7,7.44,49,7.21,7,9.41,49,103.2733,1.0454,1.5658,0,2,"Fast"
"3431",116,56,25,1,7.59,7,7.44,49,6,7,9.41,49,104.8695,1.5213,2.0482,0,2,"Fast"
"3432",116,57,28,0,11.59,7,1.53,70,10.1,7,3.5,70,106.9646,2.642,3.1613,1,2,"Fast"
"3433",116,58,27,0,11.56,7,3.5,70,9.85,7,5.47,70,110.1571,3.6978,4.2095,0,2,"Fast"
